ADJU,46.095418,-332.810676
ADKS,29.790969,-95.586409
ADLK,60.716655,-138.358433
ADLL,42.196395,-120.006711
ADMI,49.640895,-107.948404
ADMN,-35.992871,-211.216024
ADN1,39.297576,-336.873005
ADOB,33.689275,-111.917997
ADRI,41.918989,-84.024280
ADSJ,39.404281,-3.221783
ADTU,7.866917,-321.280876
ADVT,45.340931,-64.787664
AEDA,-20.546209,-70.177657
AEGY,45.186371,-331.184937
AERO,32.807467,-117.124380
AFAL,46.527143,-347.825485
AFHT,34.351238,-297.782359
AFKB,34.521874,-290.818232
AFKL,34.521882,-290.818271
AFYN,38.738362,-329.438997
AFYT,40.097136,-336.564675
AGCA,8.315047,-73.595419
AGDE,43.296383,-356.533573
AGDS,43.312653,-356.525676
AGEN,44.172518,-359.388451
AGGO,-34.873707,-58.139857
AGID,39.717563,-316.967124
AGIG,44.086541,-331.358066
AGIL,45.077046,-331.107851
AGIO,35.191504,-334.282003
AGMC,35.013230,-85.188542
AGMT,34.594282,-116.429377
AGNA,39.483652,-338.153003
AGNE,45.467941,-352.860381
AGPR,18.467533,-67.111235
AGPS,33.340251,-111.685908
AGR2,40.354875,-344.171508
AGRD,41.848967,-1.930558
AGRG,37.320284,-346.398829
AGRI,38.623995,-338.590970
AGU1,8.315225,-73.595364
AGUA,34.247891,-112.058536
AGUE,40.575584,-8.446890
AGUI,27.903877,-15.445833
AHID,42.773119,-111.063740
AHTI,-38.411447,-181.953997
AHUP,19.379109,-155.266098
AHVA,31.339646,-311.315572
AHVZ,31.343866,-311.255650
AIAH,33.849160,-117.862475
AICI,43.333565,-1.014406
AIES,13.447257,-89.050396
AIGL,44.121398,-356.418740
AILT,47.877011,-356.644111
AINP,19.372652,-155.458018
AIR2,51.293512,-113.998307
AIRA,31.824061,-229.400407
AIRD,51.285462,-113.993368
AIRM,37.806527,-1.128605
AIRP,27.697147,-274.642076
AIRS,16.740827,-62.213856
AIS5,55.069072,-131.599536
AIS6,55.068883,-131.599212
AISD,33.023892,-117.085783
AISH,61.193810,-136.999147
AITB,14.079448,-259.387599
AIZK,56.599075,-334.749793
AJAC,41.927458,-351.237385
AJAL,41.216069,-2.273605
AKAG,61.173243,-149.874852
AKBG,61.558117,-149.781791
AKDG,39.660161,-324.128356
AKED,64.845014,-148.005049
AKER,61.328616,-149.566330
AKFN,64.848849,-147.692551
AKFX,64.960349,-147.616762
AKGG,54.198178,-165.993671
AKHR,38.369272,-328.570258
AKKO,52.016239,-289.063089
AKLV,54.162697,-165.955823
AKMO,54.090259,-166.012289
AKNP,64.756957,-147.394050
AKPR,61.597968,-149.110549
AKRB,54.129228,-166.071082
AKS1,37.047717,-328.212503
AKSE,60.132498,-149.436488
AKSI,57.048861,-135.338985
AKSR,38.370391,-326.001850
AKTO,-40.539806,-183.538780
AKUR,65.685425,-18.122481
AKYR,34.980831,-335.087393
AL10,34.435000,-86.268185
AL13,34.603546,-85.930768
AL15,33.990251,-86.079564
AL20,34.710320,-87.662712
AL23,34.148575,-87.953625
AL2H,48.389780,-123.487472
AL30,33.532351,-86.853414
AL35,33.165120,-86.756830
AL40,32.962685,-86.006297
AL46,32.325689,-85.160553
AL4A,32.962101,-86.006820
AL50,33.167974,-87.501514
AL55,32.711488,-87.615591
AL60,32.411374,-86.270547
AL62,32.148157,-85.686771
AL70,31.782747,-85.965150
AL76,31.874989,-85.225689
AL81,32.575713,-88.181757
AL82,32.257446,-87.625821
AL83,31.994644,-87.333307
AL84,31.700375,-87.789169
AL90,30.690830,-88.031711
AL92,30.916391,-87.775691
ALA1,32.598858,-85.503925
ALA2,43.287575,-283.057362
ALAB,41.404749,-288.504479
ALAC,38.338920,-0.481229
ALAJ,28.063814,-17.241076
ALAL,19.381489,-155.591531
ALAM,37.357958,-115.158458
ALAN,31.307381,-86.483959
ALAR,-9.749224,-36.653420
ALAS,33.667002,-85.830691
ALAT,41.672896,-346.616453
ALAU,32.608148,-85.480326
ALAV,31.551878,-85.234334
ALB2,-36.077535,-213.084443
ALB3,7.760519,-73.389436
ALB4,43.934178,-357.863201
ALB5,39.945776,-343.544080
ALBA,38.977918,-1.856401
ALBB,43.934111,-357.863262
ALBE,34.475423,-87.864554
ALBH,48.389781,-123.487470
ALBI,10.663494,-61.514668
ALBL,43.676566,-93.329738
ALBM,43.947155,-357.847552
ALBO,35.939844,-3.034232
ALBU,32.081644,-88.233155
ALBY,-34.950227,-242.189813
ALC1,33.262278,-88.095398
ALC3,37.982033,-347.033278
ALC4,38.785320,-8.872933
ALC5,41.057899,-0.145300
ALC6,33.104557,-86.750550
ALCA,37.730768,-0.860799
ALCE,32.946012,-87.150639
ALCH,31.450991,-88.195883
ALCI,48.456937,-321.093900
ALCL,32.839945,-86.629836
ALCN,34.163050,-85.658623
ALCO,38.697987,-0.473544
ALCU,34.179872,-86.844877
ALD1,50.779325,-113.941083
ALDA,42.754404,-2.331927
ALDB,52.153168,-358.397169
ALDE,27.984773,-15.780271
ALDI,30.249169,-88.077976
ALDO,31.239493,-85.440197
ALDS,34.148175,-87.404866
ALE3,40.849165,-334.146546
ALEB,31.091457,-87.055647
ALEF,29.691833,-95.635052
ALEP,19.541161,-155.644108
ALES,44.923288,-351.383692
ALEX,45.892489,-95.384412
ALFA,33.685213,-87.829316
ALFD,64.984151,-16.034185
ALFL,34.897455,-87.797198
ALFO,30.416956,-87.675079
ALFR,43.446658,-70.730066
ALG2,45.955250,-78.070874
ALG3,45.954806,-78.072733
ALGA,37.667104,-0.862700
ALGC,36.111044,-5.444173
ALGO,45.955800,-78.071367
ALGR,31.829029,-86.617435
ALGY,47.461179,-354.393681
ALH1,34.133291,-88.001878
ALHC,33.523735,-85.634860
ALHL,33.887583,-86.397950
ALIC,-23.670117,-226.114482
ALIF,41.327032,-345.665388
ALIN,44.923128,-351.383662
ALJA,33.831894,-87.277581
ALLA,32.917406,-85.400500
ALLE,45.198777,-356.288245
ALLG,39.653866,-78.730701
ALM1,36.832234,-2.484971
ALM2,48.556986,-71.638203
